po_id,warehouse_id,product_id,po_price_total,po_price_per_unit,unit,manufacturing_date,po_date,arrival_date,expire_date,qty
PO-00123,WH-02,PRD-0055,99852.6,69.15,ชิ้น,2023-12-17,2023-12-21,2024-01-06,2025-09-12,1444
PO-00124,WH-01,PRD-0090,134727.1,154.15,ชิ้น,2024-04-07,2024-04-09,2024-04-22,2025-08-27,874
PO-00125,WH-01,PRD-0067,16534.43,9.13,ชิ้น,2024-12-09,2024-12-16,2024-12-17,2025-06-25,1811
PO-00126,WH-03,PRD-0049,23041.12,66.98,ชิ้น,2024-05-25,2024-05-27,2024-06-04,2024-12-02,344
PO-00127,WH-02,PRD-0081,140652.68,195.08,ชิ้น,2024-02-28,2024-03-01,2024-03-07,2024-03-09,721
PO-00128,WH-02,PRD-0085,13811.2,172.64,ชิ้น,2024-04-18,2024-04-22,2024-04-26,2025-10-13,80
PO-00129,WH-02,PRD-0088,93068.52,105.88,ชิ้น,2023-12-20,2023-12-25,2024-01-15,2025-08-16,879
PO-00130,WH-01,PRD-0099,19962.36,100.82,ชิ้น,2024-02-11,2024-02-14,2024-03-04,2024-12-13,198
PO-00131,WH-02,PRD-0051,139618.08,87.48,ชิ้น,2024-01-11,2024-01-12,2024-01-13,2024-01-15,1596
PO-00132,WH-03,PRD-0056,269322.05,207.65,ชิ้น,2024-09-06,2024-09-13,2024-09-14,2025-12-09,1297
PO-00133,WH-01,PRD-0021,21041.17,11.21,ชิ้น,2023-12-02,2023-12-09,2023-12-20,2028-06-17,1877
PO-00134,WH-03,PRD-0005,87432.24,59.64,ชิ้น,2024-09-04,2024-09-08,2024-09-28,2025-11-12,1466
PO-00135,WH-03,PRD-0092,64992.72,115.44,ชิ้น,2023-12-20,2023-12-26,2023-12-31,2025-12-14,563
PO-00136,WH-03,PRD-0039,187910.19,253.59,ชิ้น,2025-08-17,2025-08-18,2025-08-19,2025-08-23,741
PO-00137,WH-02,PRD-0037,105738.75,108.45,ชิ้น,2024-08-17,2024-08-21,2024-08-23,2025-05-21,975
PO-00138,WH-03,PRD-0089,90353.93,94.81,ชิ้น,2024-06-02,2024-06-04,2024-06-22,2024-09-17,953
PO-00139,WH-02,PRD-0052,22939.98,27.02,ชิ้น,2024-09-03,2024-09-10,2024-09-16,2025-10-07,849
PO-00140,WH-03,PRD-0004,32409.0,33.24,ชิ้น,2023-12-04,2023-12-09,2023-12-12,2025-12-16,975
PO-00141,WH-03,PRD-0093,84497.73,59.97,ชิ้น,2024-08-11,2024-08-16,2024-09-03,2025-07-15,1409
PO-00142,WH-02,PRD-0064,196601.17,169.63,ชิ้น,2023-12-02,2023-12-07,2023-12-26,2026-01-26,1159
PO-00143,WH-03,PRD-0056,233486.16,218.62,ชิ้น,2024-02-18,2024-02-25,2024-03-01,2025-05-22,1068
PO-00144,WH-03,PRD-0041,200074.43,162.53,ชิ้น,2024-06-10,2024-06-11,2024-07-02,2025-12-17,1231
PO-00145,WH-02,PRD-0069,145251.4,100.52,ชิ้น,2024-06-23,2024-06-29,2024-07-05,2025-05-16,1445
PO-00146,WH-03,PRD-0088,159592.4,95.45,ชิ้น,2023-12-15,2023-12-21,2023-12-30,2025-08-11,1672
PO-00147,WH-03,PRD-0004,74621.3,39.65,ชิ้น,2023-12-14,2023-12-18,2024-01-07,2025-12-26,1882
PO-00148,WH-03,PRD-0043,61198.05,62.13,ชิ้น,2024-01-02,2024-01-08,2024-01-12,2024-07-10,985
PO-00149,WH-02,PRD-0022,474286.56,250.68,ชิ้น,2024-11-16,2024-11-17,2024-11-19,2024-11-20,1892
PO-00150,WH-01,PRD-0033,70628.74,35.98,ชิ้น,2023-12-02,2023-12-06,2023-12-25,2026-07-08,1963
PO-00151,WH-01,PRD-0051,27387.99,81.27,ชิ้น,2025-08-19,2025-08-20,2025-08-21,2025-08-23,337
PO-00152,WH-01,PRD-0082,207349.36,153.82,ชิ้น,2023-12-02,2023-12-08,2023-12-26,2026-10-03,1348
PO-00153,WH-03,PRD-0095,120812.48,67.72,ชิ้น,2024-06-19,2024-06-26,2024-07-04,2025-06-02,1784
PO-00154,WH-03,PRD-0025,59875.68,31.58,ชิ้น,2024-03-16,2024-03-19,2024-04-01,2024-05-25,1896
PO-00155,WH-02,PRD-0022,55676.07,261.39,ชิ้น,2024-11-01,2024-11-02,2024-11-04,2024-11-05,213
PO-00156,WH-02,PRD-0093,24434.28,59.02,ชิ้น,2024-05-25,2024-05-29,2024-06-04,2025-04-28,414
PO-00157,WH-01,PRD-0074,50886.84,58.09,ชิ้น,2024-07-15,2024-07-22,2024-07-30,2025-01-28,876
PO-00158,WH-03,PRD-0044,197461.6,152.48,ชิ้น,2024-12-14,2024-12-15,2024-12-19,2024-12-25,1295
PO-00159,WH-01,PRD-0065,14435.72,12.07,ชิ้น,2023-12-02,2023-12-05,2023-12-17,2028-01-23,1196
PO-00160,WH-03,PRD-0004,37745.76,35.88,ชิ้น,2023-12-14,2023-12-21,2024-01-08,2025-12-26,1052
PO-00161,WH-01,PRD-0042,86435.46,66.54,ชิ้น,2025-04-14,2025-04-21,2025-05-01,2025-08-19,1299
PO-00162,WH-01,PRD-0034,10793.25,166.05,ชิ้น,2024-05-10,2024-05-15,2024-05-19,2025-11-20,65
PO-00163,WH-03,PRD-0087,388495.14,223.53,ชิ้น,2023-12-02,2023-12-09,2023-12-13,2026-05-18,1738
PO-00164,WH-03,PRD-0062,69788.64,67.04,ชิ้น,2024-03-12,2024-03-17,2024-03-28,2025-01-22,1041
PO-00165,WH-01,PRD-0075,27495.75,45.75,ชิ้น,2023-12-03,2023-12-10,2023-12-22,2025-12-25,601
PO-00166,WH-02,PRD-0027,18964.47,27.93,ชิ้น,2023-12-20,2023-12-24,2023-12-28,2025-11-30,679
PO-00167,WH-02,PRD-0042,28768.0,62.0,ชิ้น,2024-05-27,2024-05-30,2024-06-19,2024-10-01,464
PO-00168,WH-02,PRD-0028,187842.56,183.44,ชิ้น,2023-12-02,2023-12-07,2023-12-11,2026-12-01,1024
PO-00169,WH-02,PRD-0031,31626.84,32.74,ชิ้น,2023-12-13,2023-12-14,2024-01-03,2025-08-03,966
PO-00170,WH-01,PRD-0035,211979.04,143.52,ชิ้น,2024-03-22,2024-03-25,2024-03-27,2024-04-05,1477
PO-00171,WH-02,PRD-0005,22727.39,55.03,ชิ้น,2024-10-12,2024-10-17,2024-10-21,2025-12-20,413
PO-00172,WH-03,PRD-0090,154622.82,137.81,ชิ้น,2023-12-17,2023-12-22,2023-12-27,2025-05-07,1122
PO-00173,WH-02,PRD-0097,4081.14,64.78,ชิ้น,2023-12-02,2023-12-04,2023-12-12,2027-05-17,63
PO-00174,WH-03,PRD-0066,90437.04,75.87,ชิ้น,2024-11-22,2024-11-24,2024-11-26,2024-11-30,1192
PO-00175,WH-02,PRD-0018,223526.88,187.68,ชิ้น,2024-06-26,2024-07-03,2024-07-17,2025-11-29,1191
PO-00176,WH-01,PRD-0054,70257.6,98.4,ชิ้น,2025-05-03,2025-05-07,2025-05-22,2025-10-24,714
PO-00177,WH-02,PRD-0069,58281.4,93.7,ชิ้น,2024-02-25,2024-02-27,2024-03-14,2025-01-17,622
PO-00178,WH-02,PRD-0091,53332.5,48.75,ชิ้น,2024-09-13,2024-09-18,2024-10-09,2025-05-16,1094
PO-00179,WH-03,PRD-0044,172011.18,137.17,ชิ้น,2024-12-08,2024-12-10,2024-12-15,2024-12-19,1254
PO-00180,WH-03,PRD-0023,14826.81,47.37,ชิ้น,2023-12-02,2023-12-07,2023-12-11,2026-10-27,313
PO-00181,WH-03,PRD-0011,45475.86,49.11,ชิ้น,2023-12-28,2023-12-30,2023-12-31,2024-06-08,926
PO-00182,WH-01,PRD-0006,17250.75,46.75,ชิ้น,2024-12-17,2024-12-19,2024-12-23,2024-12-29,369
PO-00183,WH-01,PRD-0010,15900.0,50.0,ชิ้น,2024-01-30,2024-02-06,2024-02-17,2025-05-07,318
PO-00184,WH-01,PRD-0041,72442.44,152.19,ชิ้น,2024-02-27,2024-03-02,2024-03-04,2025-09-04,476
PO-00185,WH-01,PRD-0067,11759.31,8.73,ชิ้น,2024-06-05,2024-06-11,2024-06-15,2024-12-20,1347
PO-00186,WH-02,PRD-0037,73046.56,115.58,ชิ้น,2024-08-26,2024-08-31,2024-09-13,2025-05-30,632
PO-00187,WH-03,PRD-0050,305915.67,231.93,ชิ้น,2025-04-17,2025-04-18,2025-04-20,2025-04-21,1319
PO-00188,WH-01,PRD-0089,97581.48,106.53,ชิ้น,2025-09-14,2025-09-21,2025-10-06,2025-12-30,916
PO-00189,WH-02,PRD-0093,69812.69,51.07,ชิ้น,2024-12-18,2024-12-19,2024-12-24,2025-11-21,1367
PO-00190,WH-03,PRD-0047,52733.12,33.76,ชิ้น,2023-12-02,2023-12-05,2023-12-15,2026-07-02,1562
PO-00191,WH-01,PRD-0027,32867.94,29.19,ชิ้น,2023-12-13,2023-12-19,2024-01-06,2025-11-23,1126
PO-00192,WH-03,PRD-0014,23905.23,74.01,ชิ้น,2023-12-10,2023-12-12,2023-12-19,2025-10-10,323
PO-00193,WH-01,PRD-0078,110237.38,59.62,ชิ้น,2023-12-05,2023-12-11,2023-12-21,2024-09-02,1849
PO-00194,WH-01,PRD-0080,15565.2,91.56,ชิ้น,2023-12-10,2023-12-11,2023-12-12,2023-12-13,170
PO-00195,WH-02,PRD-0054,83623.48,79.49,ชิ้น,2025-06-20,2025-06-24,2025-07-06,2025-12-11,1052
PO-00196,WH-03,PRD-0004,14961.28,38.56,ชิ้น,2023-12-14,2023-12-19,2023-12-22,2025-12-26,388
PO-00197,WH-02,PRD-0086,65817.0,159.75,ชิ้น,2023-12-02,2023-12-05,2023-12-21,2026-04-01,412
PO-00198,WH-02,PRD-0060,117841.79,202.13,ชิ้น,2024-06-04,2024-06-09,2024-06-30,2025-10-12,583
PO-00199,WH-02,PRD-0035,40714.77,124.51,ชิ้น,2025-07-08,2025-07-09,2025-07-15,2025-07-22,327
PO-00200,WH-03,PRD-0019,10359.18,44.27,ชิ้น,2023-12-02,2023-12-09,2023-12-24,2028-07-16,234
PO-00201,WH-03,PRD-0049,83614.08,70.62,ชิ้น,2024-03-15,2024-03-19,2024-03-21,2024-09-22,1184
PO-00202,WH-01,PRD-0071,357663.15,235.15,ชิ้น,2024-02-01,2024-02-07,2024-02-23,2025-03-17,1521
PO-00203,WH-01,PRD-0023,52465.06,53.21,ชิ้น,2023-12-02,2023-12-04,2023-12-19,2026-10-27,986
PO-00204,WH-03,PRD-0092,64239.76,130.04,ชิ้น,2023-12-13,2023-12-20,2023-12-21,2025-12-07,494
PO-00205,WH-01,PRD-0042,25397.06,63.02,ชิ้น,2025-07-04,2025-07-09,2025-07-16,2025-11-08,403
PO-00206,WH-02,PRD-0095,121613.8,65.56,ชิ้น,2024-01-22,2024-01-28,2024-02-11,2025-01-04,1855
PO-00207,WH-03,PRD-0042,129797.62,72.19,ชิ้น,2024-10-07,2024-10-09,2024-10-27,2025-02-11,1798
PO-00208,WH-01,PRD-0071,143288.22,268.33,ชิ้น,2024-05-16,2024-05-22,2024-06-03,2025-06-30,534
PO-00209,WH-01,PRD-0090,236938.52,142.22,ชิ้น,2024-07-17,2024-07-22,2024-07-29,2025-12-06,1666
PO-00210,WH-03,PRD-0041,332816.4,168.6,ชิ้น,2024-03-17,2024-03-18,2024-04-03,2025-09-23,1974
PO-00211,WH-03,PRD-0093,56097.58,56.21,ชิ้น,2024-08-10,2024-08-12,2024-08-18,2025-07-14,998
PO-00212,WH-02,PRD-0051,53626.2,96.45,ชิ้น,2025-07-08,2025-07-09,2025-07-11,2025-07-12,556
PO-00213,WH-03,PRD-0033,69477.3,40.63,ชิ้น,2023-12-02,2023-12-06,2023-12-26,2026-07-08,1710
PO-00214,WH-03,PRD-0092,29960.64,104.03,ชิ้น,2023-12-30,2024-01-04,2024-01-23,2025-12-24,288
PO-00215,WH-01,PRD-0057,2488.32,5.76,ชิ้น,2023-12-02,2023-12-06,2023-12-09,2026-08-25,432
