stock_movement_id,po_id,receive_date,transfer_date,store_id,warehouse_id,qty
SM-00037,PO-00470,2023-12-15,2023-12-20,STR-007,WH-03,143
SM-00038,PO-00467,2024-06-26,2024-06-30,STR-007,WH-02,191
SM-00039,PO-02195,2024-01-19,2024-01-24,STR-006,WH-03,185
SM-00040,PO-01447,2025-11-08,2025-11-08,STR-007,WH-01,99
SM-00041,PO-00145,2024-07-06,2024-07-09,STR-010,WH-02,112
SM-00042,PO-02281,2025-02-02,2025-02-06,STR-009,WH-03,132
SM-00043,PO-00722,2025-12-02,2025-12-03,STR-009,WH-02,132
SM-00044,PO-00640,2023-12-26,2023-12-27,STR-008,WH-02,195
SM-00045,PO-02270,2025-01-19,2025-01-22,STR-002,WH-03,124
SM-00046,PO-00633,2023-12-20,2023-12-22,STR-004,WH-02,100
SM-00047,PO-01721,2024-07-22,2024-07-26,STR-005,WH-03,142
SM-00048,PO-00915,2025-02-21,2025-02-23,STR-001,WH-02,22
SM-00049,PO-01640,2025-04-15,2025-04-20,STR-010,WH-02,163
SM-00050,PO-02393,2024-08-10,2024-08-11,STR-010,WH-03,174
SM-00051,PO-01046,2023-12-26,2023-12-31,STR-006,WH-01,150
SM-00052,PO-00838,2024-02-03,2024-02-04,STR-007,WH-02,76
SM-00053,PO-01588,2024-04-25,2024-04-30,STR-008,WH-01,19
SM-00054,PO-01781,2024-01-23,2024-01-28,STR-007,WH-01,195
SM-00055,PO-01712,2023-12-17,2023-12-18,STR-008,WH-03,153
SM-00056,PO-01383,2024-01-03,2024-01-04,STR-008,WH-02,118
SM-00057,PO-01247,2023-12-09,2023-12-10,STR-006,WH-03,99
SM-00058,PO-02489,2024-12-25,2024-12-27,STR-006,WH-01,87
SM-00059,PO-01020,2023-12-23,2023-12-24,STR-002,WH-03,170
SM-00060,PO-01798,2024-03-01,2024-03-03,STR-004,WH-02,14
SM-00061,PO-00133,2023-12-21,2023-12-26,STR-003,WH-01,98
SM-00062,PO-01756,2024-05-12,2024-05-14,STR-006,WH-01,130
SM-00063,PO-01954,2024-03-19,2024-03-20,STR-008,WH-01,183
SM-00064,PO-00820,2024-02-18,2024-02-22,STR-002,WH-02,186
SM-00065,PO-02283,2023-12-29,2024-01-03,STR-008,WH-01,51
SM-00066,PO-01703,2024-10-27,2024-10-30,STR-002,WH-02,150
SM-00067,PO-01969,2024-03-29,2024-03-30,STR-003,WH-03,46
SM-00068,PO-01076,2024-05-02,2024-05-05,STR-001,WH-03,84
SM-00069,PO-01381,2024-03-12,2024-03-13,STR-006,WH-01,97
SM-00070,PO-01212,2024-02-26,2024-03-02,STR-010,WH-03,200
SM-00071,PO-00150,2023-12-27,2024-01-01,STR-010,WH-01,63
SM-00072,PO-02327,2024-07-13,2024-07-17,STR-008,WH-01,70
SM-00073,PO-02132,2024-08-21,2024-08-21,STR-009,WH-01,89
SM-00074,PO-01547,2024-03-23,2024-03-25,STR-002,WH-01,13
SM-00075,PO-00829,2024-03-24,2024-03-29,STR-005,WH-03,66
SM-00076,PO-00244,2024-05-18,2024-05-23,STR-001,WH-03,30
SM-00077,PO-01193,2023-12-20,2023-12-22,STR-004,WH-01,167
SM-00078,PO-01259,2023-12-26,2023-12-27,STR-010,WH-02,135
SM-00079,PO-01139,2025-09-04,2025-09-05,STR-002,WH-01,154
SM-00080,PO-01691,2024-05-25,2024-05-29,STR-006,WH-01,109
SM-00081,PO-00626,2023-12-30,2024-01-03,STR-009,WH-01,187
SM-00082,PO-00798,2024-05-31,2024-06-05,STR-006,WH-02,165
SM-00083,PO-01547,2024-03-22,2024-03-25,STR-003,WH-01,49
SM-00084,PO-01853,2023-12-24,2023-12-28,STR-006,WH-03,24
SM-00085,PO-00018,2024-03-27,2024-03-29,STR-003,WH-03,19
SM-00086,PO-00532,2023-12-28,2023-12-29,STR-004,WH-02,105
SM-00087,PO-01566,2023-12-18,2023-12-19,STR-008,WH-02,57
SM-00088,PO-01473,2023-12-25,2023-12-28,STR-002,WH-01,142
SM-00089,PO-02310,2024-02-10,2024-02-11,STR-001,WH-02,142
SM-00090,PO-00680,2024-12-04,2024-12-07,STR-009,WH-02,27
SM-00091,PO-01691,2024-05-25,2024-05-26,STR-007,WH-01,191
SM-00092,PO-02222,2024-05-16,2024-05-18,STR-002,WH-02,158
SM-00093,PO-00521,2023-12-24,2023-12-29,STR-008,WH-03,85
SM-00094,PO-01129,2023-12-28,2024-01-02,STR-008,WH-02,18
SM-00095,PO-02391,2024-07-11,2024-07-13,STR-009,WH-02,116
SM-00096,PO-00340,2023-12-11,2023-12-15,STR-006,WH-02,110
SM-00097,PO-01323,2024-12-28,2024-12-31,STR-009,WH-01,87
SM-00098,PO-00637,2024-02-12,2024-02-14,STR-001,WH-01,76
SM-00099,PO-02275,2024-06-09,2024-06-14,STR-003,WH-02,149
SM-00100,PO-01610,2023-12-18,2023-12-19,STR-004,WH-01,72
SM-00101,PO-01891,2024-09-18,2024-09-19,STR-004,WH-01,48
SM-00102,PO-01504,2023-12-26,2023-12-27,STR-001,WH-01,38
SM-00103,PO-02184,2024-07-13,2024-07-15,STR-001,WH-03,107
SM-00104,PO-01560,2024-01-07,2024-01-10,STR-010,WH-03,41
SM-00105,PO-02476,2024-03-15,2024-03-20,STR-004,WH-02,114
SM-00106,PO-00027,2024-02-23,2024-02-24,STR-007,WH-03,77
SM-00107,PO-01861,2023-12-09,2023-12-14,STR-002,WH-03,200
SM-00108,PO-00509,2024-05-20,2024-05-25,STR-002,WH-02,42
SM-00109,PO-01292,2023-12-20,2023-12-25,STR-007,WH-01,46
SM-00110,PO-01245,2024-07-28,2024-08-02,STR-008,WH-03,151
SM-00111,PO-00866,2024-05-03,2024-05-04,STR-005,WH-02,66
SM-00112,PO-01073,2023-12-14,2023-12-15,STR-002,WH-01,22
SM-00113,PO-00286,2024-01-20,2024-01-21,STR-009,WH-02,153
SM-00114,PO-00425,2024-07-15,2024-07-18,STR-005,WH-03,31
SM-00115,PO-00949,2023-12-29,2023-12-30,STR-003,WH-01,123
SM-00116,PO-02406,2024-03-21,2024-03-24,STR-001,WH-03,125
SM-00117,PO-00158,2024-12-20,2024-12-24,STR-009,WH-03,10
SM-00118,PO-02346,2024-02-18,2024-02-22,STR-005,WH-03,126
SM-00119,PO-00410,2024-01-01,2024-01-06,STR-005,WH-01,127
SM-00120,PO-02157,2024-07-12,2024-07-13,STR-004,WH-01,60
SM-00121,PO-00429,2023-12-25,2023-12-29,STR-005,WH-03,79
SM-00122,PO-01290,2025-02-14,2025-02-16,STR-008,WH-02,127
SM-00123,PO-01344,2023-12-19,2023-12-22,STR-008,WH-02,13
SM-00124,PO-01864,2023-12-20,2023-12-22,STR-005,WH-03,64
SM-00125,PO-01843,2023-12-14,2023-12-19,STR-005,WH-02,170
SM-00126,PO-02379,2024-09-11,2024-09-15,STR-010,WH-01,10
SM-00127,PO-02476,2024-03-13,2024-03-18,STR-004,WH-02,37
SM-00128,PO-00937,2024-05-15,2024-05-20,STR-007,WH-01,83
SM-00129,PO-00365,2023-12-11,2023-12-15,STR-003,WH-01,86
SM-00130,PO-00291,2024-06-16,2024-06-17,STR-001,WH-02,67
SM-00131,PO-00688,2023-12-12,2023-12-13,STR-007,WH-03,69
SM-00132,PO-00268,2023-12-10,2023-12-13,STR-009,WH-03,135
SM-00133,PO-01625,2023-12-25,2023-12-26,STR-004,WH-03,30
SM-00134,PO-00110,2024-01-20,2024-01-24,STR-009,WH-02,174
SM-00135,PO-01362,2023-12-29,2023-12-30,STR-005,WH-03,52
SM-00136,PO-01320,2024-09-04,2024-09-05,STR-004,WH-03,109
SM-00137,PO-01183,2024-01-15,2024-01-18,STR-001,WH-02,122
SM-00138,PO-01191,2023-12-16,2023-12-20,STR-009,WH-01,163
SM-00139,PO-01231,2025-01-18,2025-01-23,STR-009,WH-02,142
SM-00140,PO-02421,2024-05-07,2024-05-10,STR-005,WH-01,142
SM-00141,PO-00285,2024-02-16,2024-02-18,STR-008,WH-01,113
SM-00142,PO-00437,2024-06-01,2024-06-05,STR-001,WH-02,129
SM-00143,PO-00017,2024-07-16,2024-07-20,STR-002,WH-02,66
SM-00144,PO-01969,2024-03-31,2024-04-03,STR-006,WH-03,162
SM-00145,PO-00809,2024-01-12,2024-01-16,STR-004,WH-02,145
SM-00146,PO-00423,2023-12-26,2023-12-30,STR-002,WH-03,37
SM-00147,PO-02351,2024-02-05,2024-02-06,STR-007,WH-02,81
SM-00148,PO-00097,2025-05-11,2025-05-14,STR-003,WH-03,83
SM-00149,PO-01204,2023-12-13,2023-12-16,STR-002,WH-01,161
SM-00150,PO-01733,2025-02-14,2025-02-16,STR-008,WH-02,69
SM-00151,PO-00956,2024-02-13,2024-02-13,STR-009,WH-03,196
SM-00152,PO-01668,2024-01-15,2024-01-17,STR-006,WH-03,68
SM-00153,PO-02325,2023-12-26,2023-12-27,STR-002,WH-01,64
SM-00154,PO-00960,2024-01-01,2024-01-02,STR-006,WH-01,24
SM-00155,PO-01275,2024-05-22,2024-05-27,STR-010,WH-01,159
SM-00156,PO-00738,2025-08-28,2025-08-28,STR-007,WH-01,32
SM-00157,PO-00879,2025-02-21,2025-02-22,STR-007,WH-02,199
SM-00158,PO-01957,2024-05-29,2024-05-30,STR-008,WH-03,126
SM-00159,PO-00887,2024-03-15,2024-03-19,STR-010,WH-01,187
SM-00160,PO-00634,2024-06-21,2024-06-25,STR-005,WH-02,193
SM-00161,PO-00624,2024-01-13,2024-01-18,STR-004,WH-03,99
SM-00162,PO-02155,2025-04-01,2025-04-03,STR-007,WH-01,169
SM-00163,PO-00629,2023-12-26,2023-12-30,STR-008,WH-03,151
SM-00164,PO-01857,2024-03-22,2024-03-23,STR-002,WH-03,71
SM-00165,PO-01121,2024-02-14,2024-02-15,STR-010,WH-01,107
SM-00166,PO-01973,2023-12-09,2023-12-13,STR-010,WH-03,18
SM-00167,PO-01764,2025-03-02,2025-03-02,STR-001,WH-02,153
SM-00168,PO-00415,2023-12-24,2023-12-27,STR-008,WH-01,128
SM-00169,PO-02489,2024-12-24,2024-12-25,STR-003,WH-01,109
SM-00170,PO-00559,2024-03-27,2024-03-31,STR-006,WH-02,188
SM-00171,PO-02407,2023-12-30,2024-01-01,STR-009,WH-02,104
SM-00172,PO-01078,2024-04-10,2024-04-14,STR-007,WH-01,23
SM-00173,PO-02428,2025-03-04,2025-03-09,STR-009,WH-01,124
SM-00174,PO-00064,2023-12-12,2023-12-15,STR-002,WH-03,102
SM-00175,PO-01991,2023-12-25,2023-12-30,STR-001,WH-01,193
SM-00176,PO-00973,2023-12-28,2023-12-30,STR-005,WH-03,70
SM-00177,PO-00406,2023-12-31,2024-01-04,STR-009,WH-01,159
SM-00178,PO-00619,2024-06-16,2024-06-18,STR-006,WH-03,164
SM-00179,PO-00225,2024-08-03,2024-08-03,STR-006,WH-01,54
SM-00180,PO-01596,2023-12-17,2023-12-18,STR-001,WH-02,180
SM-00181,PO-00329,2025-09-22,2025-09-23,STR-002,WH-03,31
SM-00182,PO-01339,2024-09-09,2024-09-13,STR-007,WH-02,28
SM-00183,PO-02398,2023-12-24,2023-12-29,STR-008,WH-02,76
SM-00184,PO-01034,2024-06-17,2024-06-22,STR-010,WH-02,30
SM-00185,PO-00571,2023-12-12,2023-12-13,STR-002,WH-03,22
SM-00186,PO-02278,2024-05-21,2024-05-23,STR-009,WH-01,145
SM-00187,PO-01241,2024-08-29,2024-09-03,STR-007,WH-01,23
SM-00188,PO-02297,2025-05-02,2025-05-04,STR-007,WH-02,60
SM-00189,PO-00894,2024-01-30,2024-02-02,STR-002,WH-02,180
SM-00190,PO-01075,2024-05-08,2024-05-12,STR-009,WH-02,183
SM-00191,PO-01910,2025-01-21,2025-01-25,STR-004,WH-02,102
SM-00192,PO-01299,2024-07-24,2024-07-29,STR-007,WH-03,45
SM-00193,PO-00518,2023-12-15,2023-12-20,STR-002,WH-03,44
SM-00194,PO-00573,2025-06-13,2025-06-15,STR-001,WH-03,30
SM-00195,PO-02156,2024-01-09,2024-01-10,STR-007,WH-03,133
SM-00196,PO-01575,2024-12-28,2024-12-28,STR-002,WH-01,17
SM-00197,PO-00638,2024-05-10,2024-05-13,STR-004,WH-03,39
SM-00198,PO-01788,2023-12-14,2023-12-18,STR-010,WH-03,139
SM-00199,PO-00776,2024-06-10,2024-06-15,STR-006,WH-01,161
SM-00200,PO-00271,2023-12-18,2023-12-22,STR-007,WH-03,80
SM-00201,PO-00062,2024-04-17,2024-04-19,STR-004,WH-01,157
SM-00202,PO-00278,2023-12-26,2023-12-28,STR-010,WH-03,178
SM-00203,PO-00736,2023-12-23,2023-12-28,STR-006,WH-01,48
SM-00204,PO-01648,2023-12-22,2023-12-24,STR-008,WH-01,107
SM-00205,PO-02468,2024-10-29,2024-11-03,STR-004,WH-01,76
SM-00206,PO-02479,2023-12-16,2023-12-19,STR-010,WH-01,52
SM-00207,PO-00764,2023-12-10,2023-12-15,STR-006,WH-03,116
SM-00208,PO-01054,2023-12-24,2023-12-29,STR-005,WH-02,81
SM-00209,PO-01018,2024-03-20,2024-03-25,STR-007,WH-01,121
SM-00210,PO-02078,2023-12-21,2023-12-22,STR-002,WH-03,89
SM-00211,PO-00912,2023-12-21,2023-12-25,STR-004,WH-02,75
SM-00212,PO-00100,2024-01-18,2024-01-23,STR-010,WH-02,13
SM-00213,PO-01313,2025-06-20,2025-06-24,STR-009,WH-03,31
SM-00214,PO-01368,2025-07-18,2025-07-18,STR-006,WH-03,162
SM-00215,PO-00229,2024-05-25,2024-05-27,STR-007,WH-02,133
SM-00216,PO-02174,2023-12-22,2023-12-23,STR-008,WH-03,53
SM-00217,PO-01460,2024-02-03,2024-02-03,STR-010,WH-01,14
SM-00218,PO-01092,2024-02-01,2024-02-05,STR-007,WH-02,53
SM-00219,PO-00477,2024-11-29,2024-11-29,STR-007,WH-02,111
SM-00220,PO-00093,2024-09-23,2024-09-25,STR-004,WH-01,92
SM-00221,PO-02084,2024-03-29,2024-04-03,STR-005,WH-01,11
SM-00222,PO-00718,2023-12-31,2024-01-03,STR-010,WH-03,178
SM-00223,PO-02415,2024-05-30,2024-06-03,STR-010,WH-01,68
SM-00224,PO-01866,2024-06-09,2024-06-14,STR-010,WH-03,101
SM-00225,PO-02003,2024-09-02,2024-09-05,STR-010,WH-03,27
SM-00226,PO-02312,2025-01-19,2025-01-23,STR-003,WH-02,78
SM-00227,PO-00350,2025-08-11,2025-08-13,STR-002,WH-03,182
SM-00228,PO-00888,2025-01-01,2025-01-02,STR-007,WH-01,65
SM-00229,PO-02162,2024-01-14,2024-01-17,STR-007,WH-01,110
SM-00230,PO-01897,2024-02-25,2024-02-26,STR-007,WH-02,51
SM-00231,PO-01495,2024-07-31,2024-08-02,STR-009,WH-01,62
SM-00232,PO-00852,2024-02-04,2024-02-09,STR-001,WH-02,20
SM-00233,PO-01481,2024-01-22,2024-01-23,STR-007,WH-03,75
SM-00234,PO-00599,2024-01-10,2024-01-13,STR-010,WH-01,173
SM-00235,PO-02289,2025-04-26,2025-04-30,STR-003,WH-03,67
SM-00236,PO-00702,2023-12-19,2023-12-23,STR-002,WH-03,184
SM-00237,PO-02137,2024-04-21,2024-04-22,STR-009,WH-01,53
SM-00238,PO-01808,2024-11-02,2024-11-06,STR-004,WH-02,100
SM-00239,PO-01191,2023-12-16,2023-12-18,STR-009,WH-01,57
SM-00240,PO-00011,2023-12-08,2023-12-09,STR-008,WH-03,26
SM-00241,PO-01840,2024-03-01,2024-03-04,STR-001,WH-03,45
SM-00242,PO-02232,2024-01-11,2024-01-12,STR-008,WH-01,121
SM-00243,PO-00657,2023-12-23,2023-12-27,STR-008,WH-02,63
SM-00244,PO-01621,2024-01-23,2024-01-25,STR-006,WH-02,169
SM-00245,PO-01341,2024-03-27,2024-03-28,STR-006,WH-03,185
SM-00246,PO-00080,2023-12-09,2023-12-10,STR-001,WH-02,18
SM-00247,PO-02103,2023-12-27,2023-12-30,STR-002,WH-01,186
SM-00248,PO-02203,2024-05-19,2024-05-21,STR-005,WH-01,42
SM-00249,PO-01759,2023-12-22,2023-12-23,STR-003,WH-02,13
SM-00250,PO-00860,2025-05-14,2025-05-18,STR-007,WH-03,44
SM-00251,PO-00529,2023-12-11,2023-12-12,STR-004,WH-03,49
SM-00252,PO-02167,2025-12-21,2025-12-21,STR-004,WH-02,181
SM-00253,PO-01113,2024-02-29,2024-02-29,STR-003,WH-02,60
SM-00254,PO-01872,2024-06-12,2024-06-17,STR-006,WH-03,39
SM-00255,PO-01781,2024-01-21,2024-01-26,STR-010,WH-01,17
SM-00256,PO-02483,2024-02-22,2024-02-26,STR-002,WH-01,66
SM-00257,PO-00508,2023-12-11,2023-12-16,STR-007,WH-01,108
SM-00258,PO-02287,2023-12-21,2023-12-24,STR-008,WH-03,12
SM-00259,PO-01019,2025-01-05,2025-01-08,STR-004,WH-01,105
SM-00260,PO-01141,2024-12-11,2024-12-12,STR-005,WH-01,109
SM-00261,PO-00408,2023-12-05,2023-12-08,STR-007,WH-01,158
SM-00262,PO-01902,2023-12-22,2023-12-27,STR-001,WH-03,83
SM-00263,PO-01189,2024-05-15,2024-05-16,STR-006,WH-01,35
SM-00264,PO-01349,2024-05-08,2024-05-12,STR-002,WH-03,86
SM-00265,PO-00585,2024-05-07,2024-05-09,STR-010,WH-02,142
SM-00266,PO-00015,2024-07-08,2024-07-11,STR-010,WH-03,34
SM-00267,PO-00488,2024-06-17,2024-06-20,STR-006,WH-01,14
SM-00268,PO-02498,2025-11-05,2025-11-05,STR-007,WH-01,190
SM-00269,PO-01703,2024-10-28,2024-10-30,STR-002,WH-02,41
SM-00270,PO-01352,2024-03-27,2024-03-30,STR-003,WH-02,105
SM-00271,PO-00655,2024-09-18,2024-09-18,STR-004,WH-02,44
SM-00272,PO-02264,2024-04-07,2024-04-07,STR-001,WH-03,150
SM-00273,PO-00791,2024-09-06,2024-09-10,STR-008,WH-01,172
SM-00274,PO-01246,2024-10-28,2024-10-31,STR-004,WH-01,199
SM-00275,PO-00235,2023-12-11,2023-12-15,STR-005,WH-03,54
SM-00276,PO-01393,2023-12-10,2023-12-13,STR-004,WH-02,21
SM-00277,PO-00437,2024-06-01,2024-06-04,STR-002,WH-02,50
SM-00278,PO-01330,2025-07-31,2025-08-04,STR-006,WH-02,56
SM-00279,PO-01897,2024-02-27,2024-03-03,STR-008,WH-02,151
SM-00280,PO-02205,2023-12-18,2023-12-19,STR-003,WH-03,66
SM-00281,PO-00338,2023-12-09,2023-12-14,STR-008,WH-03,160
SM-00282,PO-00077,2023-12-16,2023-12-19,STR-004,WH-03,101
SM-00283,PO-02186,2023-12-08,2023-12-13,STR-009,WH-01,130
SM-00284,PO-00483,2024-06-26,2024-06-27,STR-009,WH-03,89
SM-00285,PO-00538,2024-02-16,2024-02-18,STR-003,WH-03,104
SM-00286,PO-01346,2024-09-06,2024-09-09,STR-005,WH-02,86
SM-00287,PO-00742,2025-05-10,2025-05-13,STR-001,WH-01,154
SM-00288,PO-01667,2023-12-12,2023-12-16,STR-008,WH-01,136
SM-00289,PO-02456,2023-12-10,2023-12-11,STR-010,WH-01,184
SM-00290,PO-00772,2023-12-07,2023-12-12,STR-008,WH-03,67
SM-00291,PO-00076,2025-02-05,2025-02-05,STR-005,WH-03,115
SM-00292,PO-00585,2024-05-07,2024-05-10,STR-008,WH-02,184
SM-00293,PO-00427,2025-03-19,2025-03-19,STR-002,WH-02,150
SM-00294,PO-02335,2025-03-29,2025-04-03,STR-006,WH-03,39
SM-00295,PO-00160,2024-01-09,2024-01-11,STR-002,WH-03,56
SM-00296,PO-00477,2024-11-29,2024-11-29,STR-004,WH-02,191
SM-00297,PO-02137,2024-04-22,2024-04-23,STR-010,WH-01,11
SM-00298,PO-02106,2023-12-23,2023-12-27,STR-004,WH-02,120
SM-00299,PO-00289,2024-07-09,2024-07-14,STR-003,WH-03,172
SM-00300,PO-02367,2024-01-08,2024-01-08,STR-009,WH-02,194
SM-00301,PO-00931,2024-05-30,2024-06-03,STR-001,WH-02,81
SM-00302,PO-01600,2025-05-16,2025-05-17,STR-002,WH-01,73
SM-00303,PO-02344,2025-04-03,2025-04-07,STR-010,WH-02,157
SM-00304,PO-02435,2023-12-20,2023-12-21,STR-003,WH-01,172
SM-00305,PO-01345,2023-12-09,2023-12-11,STR-007,WH-03,64
SM-00306,PO-02134,2024-03-03,2024-03-08,STR-008,WH-03,142
SM-00307,PO-01445,2023-12-15,2023-12-18,STR-003,WH-03,197
SM-00308,PO-02298,2023-12-31,2024-01-04,STR-010,WH-03,141
SM-00309,PO-00430,2024-04-07,2024-04-09,STR-009,WH-03,157
SM-00310,PO-01915,2023-12-27,2023-12-29,STR-007,WH-03,23
SM-00311,PO-02329,2024-01-26,2024-01-27,STR-001,WH-03,130
SM-00312,PO-00972,2025-10-13,2025-10-13,STR-008,WH-03,167
SM-00313,PO-02386,2025-03-30,2025-04-02,STR-010,WH-01,80
SM-00314,PO-01281,2023-12-27,2023-12-30,STR-008,WH-02,89
SM-00315,PO-01136,2024-01-17,2024-01-21,STR-002,WH-02,113
SM-00316,PO-02382,2024-11-26,2024-11-30,STR-003,WH-01,44
SM-00317,PO-01580,2024-11-15,2024-11-17,STR-006,WH-01,86
SM-00318,PO-01852,2023-12-18,2023-12-19,STR-006,WH-03,186
SM-00319,PO-01602,2023-12-16,2023-12-19,STR-001,WH-02,73
SM-00320,PO-01397,2025-06-18,2025-06-23,STR-010,WH-02,63
SM-00321,PO-02113,2024-11-24,2024-11-29,STR-006,WH-01,57
SM-00322,PO-00222,2025-03-06,2025-03-11,STR-008,WH-03,119
SM-00323,PO-01491,2024-04-04,2024-04-08,STR-009,WH-02,139
SM-00324,PO-00914,2025-01-15,2025-01-19,STR-008,WH-03,180
SM-00325,PO-02262,2024-04-23,2024-04-27,STR-002,WH-03,144
SM-00326,PO-01268,2023-12-20,2023-12-21,STR-004,WH-03,135
SM-00327,PO-00863,2023-12-21,2023-12-22,STR-001,WH-03,185
SM-00328,PO-01909,2024-01-25,2024-01-26,STR-008,WH-03,97
SM-00329,PO-00792,2025-01-28,2025-01-28,STR-006,WH-01,174
SM-00330,PO-00011,2023-12-10,2023-12-15,STR-008,WH-03,65
SM-00331,PO-01589,2023-12-06,2023-12-08,STR-010,WH-02,58
SM-00332,PO-00809,2024-01-13,2024-01-16,STR-009,WH-02,13
SM-00333,PO-00968,2025-11-24,2025-11-24,STR-004,WH-02,160
SM-00334,PO-02475,2023-12-21,2023-12-26,STR-006,WH-03,95
SM-00335,PO-00178,2024-10-09,2024-10-10,STR-003,WH-02,45
SM-00336,PO-01609,2024-06-14,2024-06-16,STR-006,WH-03,68
SM-00337,PO-00975,2024-07-21,2024-07-24,STR-006,WH-03,40
SM-00338,PO-01167,2024-01-03,2024-01-05,STR-010,WH-01,77
SM-00339,PO-02434,2023-12-12,2023-12-14,STR-001,WH-03,42
SM-00340,PO-01007,2025-08-31,2025-09-01,STR-005,WH-01,29
SM-00341,PO-01197,2024-01-27,2024-01-27,STR-007,WH-03,18
SM-00342,PO-02397,2023-12-23,2023-12-26,STR-004,WH-03,90
SM-00343,PO-01508,2024-08-04,2024-08-08,STR-006,WH-02,20
SM-00344,PO-00610,2024-11-16,2024-11-20,STR-001,WH-02,39
SM-00345,PO-01927,2024-08-21,2024-08-23,STR-005,WH-01,117
SM-00346,PO-01267,2023-12-14,2023-12-19,STR-005,WH-02,80
SM-00347,PO-01926,2023-12-30,2024-01-01,STR-007,WH-02,37
SM-00348,PO-02257,2024-11-22,2024-11-22,STR-010,WH-01,33
SM-00349,PO-00605,2025-01-28,2025-01-29,STR-008,WH-01,117
SM-00350,PO-01331,2023-12-15,2023-12-19,STR-001,WH-01,36
SM-00351,PO-00631,2023-12-18,2023-12-23,STR-003,WH-02,176
SM-00352,PO-00971,2023-12-07,2023-12-11,STR-001,WH-03,85
SM-00353,PO-01161,2023-12-20,2023-12-23,STR-007,WH-02,73
SM-00354,PO-00018,2024-03-28,2024-03-31,STR-005,WH-03,92
SM-00355,PO-01394,2024-12-13,2024-12-14,STR-010,WH-02,42
SM-00356,PO-01671,2024-07-20,2024-07-23,STR-004,WH-02,119
SM-00357,PO-00028,2023-12-22,2023-12-26,STR-008,WH-01,147
SM-00358,PO-02482,2023-12-19,2023-12-21,STR-005,WH-02,175
SM-00359,PO-00561,2025-03-14,2025-03-16,STR-008,WH-03,157
SM-00360,PO-02461,2024-10-08,2024-10-12,STR-001,WH-03,19
SM-00361,PO-00120,2025-06-01,2025-06-03,STR-009,WH-01,112
SM-00362,PO-02317,2024-05-31,2024-06-02,STR-007,WH-01,118
SM-00363,PO-02306,2024-10-21,2024-10-23,STR-001,WH-03,48
SM-00364,PO-00255,2023-12-31,2024-01-03,STR-010,WH-03,53
SM-00365,PO-00096,2023-12-15,2023-12-19,STR-007,WH-03,165
SM-00366,PO-00153,2024-07-06,2024-07-10,STR-007,WH-03,16
