customer_id,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfm_score,rfm_segment,promo_sensitivity,segment
CUS-00155,38,86,39024.61,3,2,3,323,Potential Loyalists,0.33333333333333337,occasional
CUS-00156,17,85,41064.8,4,2,3,423,Loyal,0.33333333333333337,occasional
CUS-00157,177,59,23257.23,1,2,2,122,At Risk,0.6666666666666667,price_sensitive
CUS-00158,248,102,43429.27,1,3,3,133,New Customers,0.33333333333333337,loyal_full_price
CUS-00159,8,230,107116.43,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00160,52,91,41546.35,2,3,3,233,Need Attention,0.33333333333333337,loyal_full_price
CUS-00161,8,244,103196.95,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00162,49,240,104410.55,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00163,216,43,20067.84,1,1,1,111,Lost,1.0,price_sensitive
CUS-00164,66,46,17284.92,2,1,1,211,At Risk,1.0,price_sensitive
CUS-00165,66,113,48234.47,2,3,3,233,Need Attention,0.33333333333333337,loyal_full_price
CUS-00166,26,72,31938.72,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00167,11,257,125379.1,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00168,68,49,34157.82,2,1,2,212,At Risk,0.6666666666666667,price_sensitive
CUS-00169,27,94,38872.64,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00170,18,63,23851.829999999998,4,2,2,422,Potential Loyalists,0.6666666666666667,price_sensitive
CUS-00171,52,148,76940.35,2,4,4,244,Potential Loyalists,0.0,loyal_full_price
CUS-00172,29,90,46836.86,3,2,3,323,Potential Loyalists,0.33333333333333337,loyal_full_price
CUS-00173,28,43,16330.71,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00174,115,59,29341.87,1,2,2,122,At Risk,0.6666666666666667,price_sensitive
CUS-00175,10,141,60045.69,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00176,71,48,17989.26,2,1,1,211,At Risk,1.0,price_sensitive
CUS-00177,53,133,55135.53,2,3,3,233,Need Attention,0.33333333333333337,loyal_full_price
CUS-00178,27,101,42580.83,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00179,54,142,65947.83,2,4,4,244,Potential Loyalists,0.0,loyal_full_price
CUS-00180,3,227,87515.19,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00181,40,215,104350.42,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00182,74,106,42238.59,2,3,3,233,Need Attention,0.33333333333333337,loyal_full_price
CUS-00183,8,118,49918.65,4,3,3,433,Loyal,0.33333333333333337,loyal_full_price
CUS-00184,7,258,110976.73,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00185,51,35,11187.74,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00186,28,251,102922.57,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00187,112,96,37704.47,1,3,2,132,At Risk,0.6666666666666667,promo_lover
CUS-00188,9,218,98224.0,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00189,53,147,60773.68,2,4,4,244,Potential Loyalists,0.0,loyal_full_price
CUS-00190,11,240,111055.1,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00191,64,96,40950.5,2,3,3,233,Need Attention,0.33333333333333337,loyal_full_price
CUS-00192,8,143,55084.54,4,4,3,443,Champions,0.33333333333333337,loyal_full_price
CUS-00193,119,56,27373.75,1,2,2,122,At Risk,0.6666666666666667,price_sensitive
CUS-00194,1,150,63093.85,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00195,56,99,37548.94,2,3,2,232,Need Attention,0.6666666666666667,promo_lover
CUS-00196,36,61,32148.62,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00197,23,110,46040.98,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00198,23,48,23758.47,3,1,2,312,Need Attention,0.6666666666666667,price_sensitive
CUS-00199,91,111,48851.24,2,3,3,233,Need Attention,0.33333333333333337,loyal_full_price
CUS-00200,52,257,117457.48,2,4,4,244,Potential Loyalists,0.0,loyal_full_price
CUS-00201,178,39,18464.78,1,1,1,111,Lost,1.0,price_sensitive
CUS-00202,113,51,15477.19,1,2,1,121,At Risk,1.0,price_sensitive
CUS-00203,83,44,17004.65,2,1,1,211,At Risk,1.0,price_sensitive
CUS-00204,82,53,19725.05,2,2,1,221,About to Sleep,1.0,price_sensitive
CUS-00205,28,141,59973.85,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00206,39,40,13585.68,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00207,186,40,14030.8,1,1,1,111,Lost,1.0,price_sensitive
CUS-00208,199,51,14536.9,1,2,1,121,At Risk,1.0,price_sensitive
CUS-00209,113,97,45355.08,1,3,3,133,New Customers,0.33333333333333337,loyal_full_price
CUS-00210,48,84,35804.5,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00211,38,137,62837.01,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00212,35,95,52745.98,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00213,120,51,21030.53,1,2,1,121,At Risk,1.0,price_sensitive
CUS-00214,64,110,38381.31,2,3,3,233,Need Attention,0.33333333333333337,loyal_full_price
CUS-00215,11,80,30921.62,4,2,2,422,Potential Loyalists,0.6666666666666667,price_sensitive
CUS-00216,4,46,21651.2,4,1,2,412,Need Attention,0.6666666666666667,price_sensitive
CUS-00217,171,86,34087.07,1,2,2,122,At Risk,0.6666666666666667,price_sensitive
CUS-00218,50,134,55309.36,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00219,52,46,18012.96,2,1,1,211,At Risk,1.0,price_sensitive
CUS-00220,115,77,36581.72,1,2,2,122,At Risk,0.6666666666666667,price_sensitive
CUS-00221,44,97,34299.81,3,3,2,332,Potential Loyalists,0.6666666666666667,promo_lover
CUS-00222,97,39,12936.3,1,1,1,111,Lost,1.0,price_sensitive
CUS-00223,27,89,41891.93,3,2,3,323,Potential Loyalists,0.33333333333333337,occasional
CUS-00224,52,100,45162.09,2,3,3,233,Need Attention,0.33333333333333337,loyal_full_price
CUS-00225,49,147,62091.61,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00226,81,243,107988.88,2,4,4,244,Potential Loyalists,0.0,loyal_full_price
CUS-00227,11,94,45049.6,4,3,3,433,Loyal,0.33333333333333337,loyal_full_price
CUS-00228,66,88,41793.31,2,2,3,223,Need Attention,0.33333333333333337,occasional
CUS-00229,2,143,61995.95,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00230,52,101,29996.32,2,3,2,232,Need Attention,0.6666666666666667,promo_lover
CUS-00231,262,40,16085.79,1,1,1,111,Lost,1.0,price_sensitive
CUS-00232,10,148,80514.61,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00233,129,50,24398.76,1,2,2,122,At Risk,0.6666666666666667,price_sensitive
CUS-00234,8,100,51243.04,4,3,3,433,Loyal,0.33333333333333337,loyal_full_price
CUS-00235,188,125,65175.45,1,3,4,134,New Customers,0.0,loyal_full_price
CUS-00236,94,62,25978.86,2,2,2,222,Need Attention,0.6666666666666667,price_sensitive
CUS-00237,2,133,74028.37,4,3,4,434,Champions,0.0,loyal_full_price
CUS-00238,28,48,16121.14,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00239,10,97,38350.46,4,3,3,433,Loyal,0.33333333333333337,loyal_full_price
CUS-00240,65,217,87572.98,2,4,4,244,Potential Loyalists,0.0,loyal_full_price
CUS-00241,112,44,15353.12,1,1,1,111,Lost,1.0,price_sensitive
CUS-00242,68,78,23138.99,2,2,2,222,Need Attention,0.6666666666666667,price_sensitive
CUS-00243,7,44,20220.64,4,1,1,411,Need Attention,1.0,price_sensitive
CUS-00244,38,86,37995.72,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00245,70,86,31297.34,2,2,2,222,Need Attention,0.6666666666666667,price_sensitive
CUS-00246,68,41,24811.86,2,1,2,212,At Risk,0.6666666666666667,price_sensitive
CUS-00247,49,132,68795.8,3,3,4,334,Loyal,0.0,loyal_full_price
CUS-00248,50,108,44140.73,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00249,331,48,15269.26,1,1,1,111,Lost,1.0,price_sensitive
CUS-00250,24,167,79191.04,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00251,27,240,108264.45,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00252,49,42,16302.0,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00253,27,46,14279.68,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00254,147,112,43685.65,1,3,3,133,New Customers,0.33333333333333337,loyal_full_price
CUS-00255,10,100,43639.86,4,3,3,433,Loyal,0.33333333333333337,loyal_full_price
CUS-00256,190,41,13148.14,1,1,1,111,Lost,1.0,price_sensitive
CUS-00257,37,105,45965.42,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00258,36,38,18682.76,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00259,2,43,25664.42,4,1,2,412,Need Attention,0.6666666666666667,price_sensitive
CUS-00260,76,51,26323.66,2,2,2,222,Need Attention,0.6666666666666667,price_sensitive
CUS-00261,341,31,16815.37,1,1,1,111,Lost,1.0,price_sensitive
CUS-00262,42,98,50785.37,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00263,155,62,20845.53,1,2,1,121,At Risk,1.0,price_sensitive
CUS-00264,192,85,33732.51,1,2,2,122,At Risk,0.6666666666666667,price_sensitive
CUS-00265,39,100,32444.96,3,3,2,332,Potential Loyalists,0.6666666666666667,promo_lover
CUS-00266,186,40,18966.02,1,1,1,111,Lost,1.0,price_sensitive
CUS-00267,1,152,63321.37,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00268,49,155,66532.65,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00269,49,112,40100.62,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00270,18,52,30340.76,4,2,2,422,Potential Loyalists,0.6666666666666667,price_sensitive
CUS-00271,17,83,41231.67,4,2,3,423,Loyal,0.33333333333333337,occasional
CUS-00272,27,273,108350.75,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00273,200,52,23299.77,1,2,2,122,At Risk,0.6666666666666667,price_sensitive
CUS-00274,205,88,33633.37,1,2,2,122,At Risk,0.6666666666666667,price_sensitive
CUS-00275,174,137,67953.53,1,4,4,144,New Customers,0.0,loyal_full_price
CUS-00276,224,51,21085.41,1,2,1,121,At Risk,1.0,price_sensitive
CUS-00277,67,134,57202.18,2,3,4,234,Potential Loyalists,0.0,loyal_full_price
CUS-00278,9,80,31576.44,4,2,2,422,Potential Loyalists,0.6666666666666667,price_sensitive
CUS-00279,80,111,56992.67,2,3,4,234,Potential Loyalists,0.0,loyal_full_price
CUS-00280,7,42,19874.13,4,1,1,411,Need Attention,1.0,price_sensitive
CUS-00281,73,84,40394.87,2,2,3,223,Need Attention,0.33333333333333337,occasional
CUS-00282,27,45,14182.06,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00283,1,96,34058.42,4,3,2,432,Loyal,0.6666666666666667,promo_lover
CUS-00284,165,47,15078.76,1,1,1,111,Lost,1.0,price_sensitive
CUS-00285,56,169,75031.38,2,4,4,244,Potential Loyalists,0.0,loyal_full_price
CUS-00286,11,222,82037.3,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00287,36,88,37668.15,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00288,130,55,20790.38,1,2,1,121,At Risk,1.0,price_sensitive
CUS-00289,17,136,66434.92,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00290,11,245,114734.13,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00291,27,237,106094.20999999999,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00292,12,93,52936.68,4,3,3,433,Loyal,0.33333333333333337,loyal_full_price
CUS-00293,2,99,42996.45,4,3,3,433,Loyal,0.33333333333333337,loyal_full_price
CUS-00294,51,47,19885.89,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00295,67,106,41565.840000000004,2,3,3,233,Need Attention,0.33333333333333337,loyal_full_price
CUS-00296,28,77,26130.28,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00297,52,149,52472.31,2,4,3,243,Potential Loyalists,0.33333333333333337,loyal_full_price
CUS-00298,64,98,38692.86,2,3,3,233,Need Attention,0.33333333333333337,loyal_full_price
CUS-00299,121,45,20969.61,1,1,1,111,Lost,1.0,price_sensitive
CUS-00300,1,253,110254.09,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00301,27,46,14541.86,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00302,2,106,50853.9,4,3,3,433,Loyal,0.33333333333333337,loyal_full_price
CUS-00303,66,156,81266.99,2,4,4,244,Potential Loyalists,0.0,loyal_full_price
CUS-00304,64,64,28009.05,2,2,2,222,Need Attention,0.6666666666666667,price_sensitive
CUS-00305,50,225,92789.19,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00306,117,152,66385.95,1,4,4,144,New Customers,0.0,loyal_full_price
CUS-00307,72,129,50490.37,2,3,3,233,Need Attention,0.33333333333333337,loyal_full_price
CUS-00308,17,44,17016.29,4,1,1,411,Need Attention,1.0,price_sensitive
CUS-00309,24,63,30475.829999999998,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00310,23,92,41547.14,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00311,29,101,46193.9,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00312,26,117,51279.35,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00313,7,139,59081.25,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00314,252,44,18855.93,1,1,1,111,Lost,1.0,price_sensitive
CUS-00315,185,58,24484.41,1,2,2,122,At Risk,0.6666666666666667,price_sensitive
CUS-00316,191,44,19062.26,1,1,1,111,Lost,1.0,price_sensitive
CUS-00317,39,245,119224.87,3,4,4,344,Loyal,0.0,loyal_full_price
